Model Name,IoU,Recall,Precision,F1,Time(s),Is_Winner
sentence-transformers/all-MiniLM-L6-v2,0.0972,0.6943,0.1001,0.175,62.8,True
BAAI/bge-small-en-v1.5,0.0625,0.4703,0.0645,0.1134,117.2,False
